subject,category
"Win a free iPhone 15 right now!",Spam
"Congratulations! You have won $1,000,000",Spam
"Your account has been suspended, click here to verify",Spam
"Limited time offer: Get 50% off all shoes",Promotion
"Flash sale ends tonight! Shop now",Promotion
"Here is your weekly newsletter from TechDaily",Updates
"John Doe tagged you in a photo",Social
"You have 3 new friend requests",Social
"Lunch at 12 PM?",Personal
"Hey, how have you been?",Personal
"Q3 Financial Report Attached",Work
"Meeting agenda for tomorrow's standup",Work
"Your OTP for SBI transaction is 7788",OTP
"Your verification code is 123456",OTP
"Urgent: Reset your password immediately",Security
"New login from an unrecognized device",Security
"Your bank statement for the month of May",Finance
"Payment received for invoice #1002",Finance
"Flight ticket confirmation: NY to LA",Important
"Your job application has been updated",Important
"Click this link to claim your prize!",Spam
"Earn $500 a day working from home",Spam
"Buy cheap meds online now",Spam
"Exclusive deal: Buy one get one free",Promotion
"Save big on our new summer collection",Promotion
"Software update version 2.1 is available",Updates
"Changes to our Terms of Service",Updates
"Sarah liked your comment",Social
"Jane commented on your post",Social
"Can we reschedule our dinner?",Personal
"Happy Birthday! Hope you have a great day",Personal
"Project deadline extension requested",Work
"Please review the attached contract",Work
"Your one-time password is 987654. Do not share it.",OTP
"Use code 456123 to log in to your account",OTP
"Security Alert: Password changed successfully",Security
"Action required: Verify your email address",Security
"Your salary has been credited to your account",Finance
"Tax refund notification",Finance
"Final warning: Immediate action required",Important
"Your medical test results are ready",Important
"You've been selected for a free gift card",Spam
"Weight loss secret doctors don't want you to know",Spam
"Hot singles in your area",Spam
"Don't miss out on our black friday deals",Promotion
"Special discount just for you",Promotion
"Your weekly summary from Medium",Updates
"New features coming to your app",Updates
"Tom started following you",Social
"You have unread messages on LinkedIn",Social
"Did you leave your jacket at my place?",Personal
"Let's catch up this weekend",Personal
"Team meeting minutes from yesterday",Work
"Action items from the client call",Work
"885522 is your authentication code",OTP
"Please enter OTP 112233 to confirm your payment",OTP
"We detected unusual activity on your account",Security
"Two-factor authentication enabled",Security
"Invoice #5560 is due next week",Finance
"Your subscription payment was successful",Finance
"Offer letter enclosed",Important
"Visa application status update",Important
"Make money fast with this simple trick",Spam
"Claim your inheritance now",Spam
"Only 2 hours left for the mega sale",Promotion
"Get a free trial for 30 days",Promotion
"System maintenance scheduled for tonight",Updates
"Your order has been shipped",Updates
"Someone viewed your profile",Social
"Join the group 'Python Developers'",Social
"Thanks for the gift!",Personal
"Are we still on for tonight?",Personal
"Please approve the attached budget",Work
"Feedback on the recent UI designs",Work
"OTP 741852 for Amazon login",OTP
"Your PayPal verification code is 369258",OTP
"Warning: Your account will be locked in 24 hours",Security
"Verify your identity to restore access",Security
"Your credit card bill is ready",Finance
"Dividend payment received",Finance
"Court appearance notification",Important
"Your passport is ready for collection",Important
"You are the 1,000,000th visitor!",Spam
"Guaranteed return on investment",Spam
"Unlock premium features at half price",Promotion
"The biggest clearance event of the year",Promotion
"App version 3.0 is out now",Updates
"Your delivery will arrive today",Updates
"A new post was added to the channel",Social
"Reply to David's comment",Social
"Thinking of you",Personal
"Call me when you are free",Personal
"Employee satisfaction survey",Work
"Quarterly OKR review",Work
"456789 is your login code. It expires in 5 mins",OTP
"Do not share this OTP: 123987",OTP
"Critical security update required",Security
"Suspicious login attempt blocked",Security
"Monthly expense report",Finance
"Your loan application has been approved",Finance
"Admission confirmed for Fall 2026",Important
"Emergency contact information update",Important
"This is not a drill, click here",Spam
"Free bitcoins waiting for you",Spam
"Get your premium membership now",Promotion
"Clearance sale: up to 80% off",Promotion
"New privacy policy update",Updates
"Your account summary for this week",Updates
"Mark invited you to an event",Social
"You have 5 new notifications",Social
"Where are we meeting?",Personal
"Sorry I missed your call",Personal
"Welcome to the team!",Work
"Please send me the presentations",Work
"Use OTP 159753 for transaction",OTP
"Auth code: 753159",OTP
"Your account was accessed from a new IP",Security
"Reset your password",Security
"Receipt for your recent purchase",Finance
"Insufficient funds in your account",Finance
"Your background check is complete",Important
"Evacuation order for your area",Important
